FALL 2025 CALENDAR,,,,,,,,,,,,,,,,,,,,,,
Month,Venue,Date,
October,BROAD ST BOARDWALK,Thursday October 2,11 - 2:30pm,,,,,,,,,,,,,,,,,,,
October,El tesoro,Saturday October 4,12-5pm,,,,,,,,,,,,,,,,,,,
October,Liminal Space ,Saturday October 11,12-5pm,,,,,,,,,,,,,,,,,,,
October,BROAD ST BOARDWALK,Thursday October 16,11 - 2:30pm,,,,,,,,,,,,,,,,,,,
October,Collective Liberation ; ATL Radical Art,Saturday October 18,12-5pm,,,,,,,,,,,,,,,,,,,
October,Finca to Filter,Saturday October 25,10-3pm,,,,,,,,,,,,,,,,,,,
October,KROG DISTRICT - STOVE WORKS,Sunday October 26,12-5pm,,,,,,,,,,,,,,,,,,,
October,BROAD ST BOARDWALK,Thursday October 30,11 - 2:30pm,,,,,,,,,,,,,,,,,,,
November,El tesoro,Saturday November 1,12-5pm,,,,,,,,,,,,,,,,,,,
November,BROAD ST BOARDWALK,Thursday November 6,11 - 2:30pm,,,,,,,,,,,,,,,,,,,
November,Liminal Space ,Saturday November 8,12-5pm,,,,,,,,,,,,,,,,,,,
November,Finca to Filter,Saturday November 15,10-3pm,,,,,,,,,,,,,,,,,,,
November,BROAD ST BOARDWALK,Thursday November 20,11 - 2:30pm,,,,,,,,,,,,,,,,,,,
November,Liminal Space ,Saturday November 22,12-5pm,,,,,,,,,,,,,,,,,,,
November,KROG DISTRICT - STOVE WORKS,Sunday November 23,12-5pm,,,,,,,,,,,,,,,,,,,
December,BROAD ST BOARDWALK,Thursday December 4,11 - 2:30pm,,,,,,,,,,,,,,,,,,,
December,El tesoro,Saturday December 6,12-5pm,,,,,,,,,,,,,,,,,,,
December,Finca to Filter,Sunday December 7,10-3pm,,,,,,,,,,,,,,,,,,,
December,Liminal Space ,Saturday December 13,12-5pm,,,,,,,,,,,,,,,,,,,
